sequence,camera,algo,t_err_rmse_f,t_err_median_f,r_err_rmse_f,r_err_median_f,t_err_rmse_s,t_err_median_s,r_err_rmse_s,r_err_median_s
rgbd_dataset_freiburg3_walking_xyz,fr3,vors-norm,0.04407502,0.014325421,0.016981019,0.0054067667,0.42791682,0.20806177,0.14769582,0.043906014
rgbd_dataset_freiburg3_walking_xyz,fr3,fovis,0.016795648,0.0105836075,0.008366775,0.0048710154,0.25942588,0.14977139,0.08422773,0.050202854
rgbd_dataset_freiburg3_walking_xyz,fr3,ocv-rgbd-icp,0.0089580845,0.007833691,0.010910658,0.0077662775,0.22846583,0.22583103,0.10851588,0.08626783
rgbd_dataset_freiburg3_walking_xyz,fr3,vors-huber,0.026197933,0.0102855405,0.010236979,0.0044996394,0.21961233,0.07331573,0.067073315,0.019449389
rgbd_dataset_freiburg3_walking_xyz,fr3,vors-robust,0.029923996,0.01038044,0.010725357,0.0044380627,0.2698401,0.09542238,0.08499941,0.02535545
rgbd_dataset_freiburg3_walking_xyz,fr3,dvo,0.0211296,0.010911568,0.008591676,0.0046275537,0.4736505,0.22307704,0.1460683,0.05369749
rgbd_dataset_freiburg3_walking_xyz,fr3,still,0.008960308,0.007811526,0.010895329,0.007761082,0.22846986,0.22583103,0.1085097,0.08626783
rgbd_dataset_freiburg3_walking_xyz,fr3,ocv-rgbd,0.022845654,0.013237525,0.010019424,0.005743542,0.5006503,0.3009513,0.16545953,0.09647933
rgbd_dataset_freiburg3_walking_xyz,fr3,ocv-icp,0.0089580845,0.007833691,0.010910658,0.0077662775,0.22846583,0.22583103,0.10851588,0.08626783
rgbd_dataset_freiburg3_walking_xyz,fr3,vors,0.02926607,0.010887747,0.011370954,0.0046466957,0.3689706,0.15468256,0.11353827,0.03708027
rgbd_dataset_freiburg3_walking_xyz,fr3,vors-photo,0.03467283,0.010877017,0.012213608,0.0046807393,0.37325004,0.14744526,0.109185725,0.03896968
rgbd_dataset_freiburg3_nostructure_texture_far,fr3,vors-photo,0.086300716,0.02087908,0.025843423,0.009062414,0.2764364,0.029300796,0.07950423,0.012770472
rgbd_dataset_freiburg3_nostructure_texture_far,fr3,dvo,0.049471103,0.016658554,0.01957316,0.007455242,0.1615091,0.04814088,0.05954361,0.018517068
rgbd_dataset_freiburg3_nostructure_texture_far,fr3,vors-norm,0.044267707,0.021277055,0.017694296,0.009758824,0.20319839,0.029605625,0.091647394,0.0133078145
rgbd_dataset_freiburg3_nostructure_texture_far,fr3,vors-robust,0.04901032,0.020748809,0.018875165,0.009087683,0.12334858,0.029263267,0.029226502,0.012063813
rgbd_dataset_freiburg3_nostructure_texture_far,fr3,vors,0.03960594,0.020195533,0.014075163,0.009149599,0.12872773,0.0286371,0.026992656,0.012839821
rgbd_dataset_freiburg3_nostructure_texture_far,fr3,ocv-rgbd,0.02550096,0.019078111,0.011425989,0.008539023,0.049165737,0.037286013,0.02024384,0.014883734
rgbd_dataset_freiburg3_nostructure_texture_far,fr3,still,0.010836441,0.010264319,0.008900604,0.0072605205,0.30802542,0.31781885,0.059179705,0.042033363
rgbd_dataset_freiburg3_nostructure_texture_far,fr3,ocv-rgbd-icp,0.01083323,0.010264319,0.008937047,0.007211225,0.3080351,0.3178412,0.059226006,0.042033363
rgbd_dataset_freiburg3_nostructure_texture_far,fr3,ocv-icp,0.01083323,0.010264319,0.008937047,0.007211225,0.3080351,0.3178412,0.059226006,0.042033363
rgbd_dataset_freiburg3_nostructure_texture_far,fr3,fovis,0.029225508,0.021297915,0.012580399,0.0091174,0.08610257,0.037979927,0.02920826,0.015666857
rgbd_dataset_freiburg3_nostructure_texture_far,fr3,vors-huber,0.062570736,0.02191178,0.023305902,0.009912096,0.2723238,0.031192742,0.11811664,0.013477832
traj3_frei_png,icl,ocv-rgbd,0.004500038,0.002400982,0.25241768,0.0010880372,0.033069614,0.016461417,1.2716961,0.0067387586
traj3_frei_png,icl,vors-norm,0.0010241624,0.00060458505,0.17849903,0.00026160898,0.0031627251,0.0021335236,0.90085804,0.0009620535
traj3_frei_png,icl,fovis,0.07597416,0.0065788706,0.18092102,0.006071794,0.49620694,0.21373703,0.90368134,0.19072737
traj3_frei_png,icl,ocv-icp,0.00019702988,0.000043567252,0.2524371,0.000019932804,0.0011712218,0.0003239592,1.2740197,0.00012872246
traj3_frei_png,icl,vors-robust,0.00062646915,0.0004328666,0.17850102,0.00018979167,0.002328464,0.0018423975,0.9008334,0.0008100561
traj3_frei_png,icl,ocv-rgbd-icp,0.00023173782,0.00008321967,0.2524322,0.000041949286,0.0012595644,0.0004778203,1.2739729,0.00024617903
traj3_frei_png,icl,dvo,0.005361343,0.0026920906,0.25239724,0.0008274616,0.097130805,0.06016996,0.62366164,0.014371249
traj3_frei_png,icl,still,0.0067296564,0.0063850507,0.17843562,0.0066220663,0.15781584,0.15951277,0.88222957,0.16536193
traj3_frei_png,icl,vors-photo,0.0008963453,0.0005460984,0.17849977,0.00023510765,0.0035086484,0.0023951696,0.90083843,0.0010904631
traj3_frei_png,icl,vors-huber,0.0007435266,0.0005006857,0.17850088,0.00020916095,0.0022838982,0.0016130997,0.9008601,0.00076377
traj3_frei_png,icl,vors,0.0010341071,0.0005355771,0.17850073,0.00023736068,0.003530353,0.0020986735,0.90082526,0.0009645103
rgbd_dataset_freiburg1_desk2,fr1,vors,0.016811501,0.006150449,0.8029036,0.006566315,0.08219859,0.049580887,3.44391,0.07329129
rgbd_dataset_freiburg1_desk2,fr1,ocv-icp,0.018949144,0.015880723,0.7982873,0.02442751,0.4856971,0.43196186,3.101908,0.59062237
rgbd_dataset_freiburg1_desk2,fr1,vors-photo,0.010856835,0.006247504,0.80309,0.006396534,0.08524683,0.05169684,3.4434319,0.08704706
rgbd_dataset_freiburg1_desk2,fr1,vors-robust,0.0140171135,0.006297097,0.8029719,0.0063337553,0.06566487,0.043601755,3.4585962,0.05891349
rgbd_dataset_freiburg1_desk2,fr1,vors-norm,0.011308469,0.0064656925,0.802866,0.0068240515,0.10054724,0.051680245,3.4390805,0.08729861
rgbd_dataset_freiburg1_desk2,fr1,vors-huber,0.013210312,0.006235794,0.8029674,0.006361429,0.06533319,0.042077124,3.4581892,0.05955275
rgbd_dataset_freiburg1_desk2,fr1,ocv-rgbd,0.0109128235,0.0058791437,0.8033296,0.00724149,0.07948395,0.048655752,3.4164498,0.08932811
rgbd_dataset_freiburg1_desk2,fr1,fovis,0.009557335,0.006358841,0.80256826,0.00730533,0.05439387,0.038702134,3.427904,0.061572976
rgbd_dataset_freiburg1_desk2,fr1,ocv-rgbd-icp,0.018949144,0.015880723,0.7982873,0.02442751,0.4856971,0.43196186,3.101908,0.59062237
rgbd_dataset_freiburg1_desk2,fr1,still,0.018902706,0.015900655,0.79905933,0.024140231,0.48654625,0.43196186,3.1333525,0.5939583
rgbd_dataset_freiburg1_desk2,fr1,dvo,0.01618016,0.0059453533,0.80346763,0.007081541,0.057982985,0.041350555,3.4211242,0.060606472
rgbd_dataset_freiburg3_sitting_rpy,fr3,ocv-icp,0.0020599025,0.0016669347,0.4455104,0.015223769,0.04617499,0.041262273,2.3251784,0.47000557
rgbd_dataset_freiburg3_sitting_rpy,fr3,vors-photo,0.009674943,0.0057894094,0.44645864,0.004466108,0.029234925,0.019815506,2.463193,0.01178384
rgbd_dataset_freiburg3_sitting_rpy,fr3,ocv-rgbd-icp,0.0020599025,0.0016669347,0.4455104,0.015223769,0.04617499,0.041262273,2.3251784,0.47000557
rgbd_dataset_freiburg3_sitting_rpy,fr3,dvo,0.008994146,0.00519661,0.446471,0.0044104885,0.045523766,0.02746633,2.4618857,0.015057647
rgbd_dataset_freiburg3_sitting_rpy,fr3,still,0.0020604604,0.0016762072,0.4455094,0.015229255,0.046168536,0.041262273,2.3252144,0.47088188
rgbd_dataset_freiburg3_sitting_rpy,fr3,vors-robust,0.010473388,0.005944988,0.44647774,0.004492458,0.03492259,0.02244381,2.4635267,0.012723486
rgbd_dataset_freiburg3_sitting_rpy,fr3,vors,0.011584771,0.00600189,0.44642776,0.0043968437,0.047394793,0.022109998,2.4633048,0.012812666
rgbd_dataset_freiburg3_sitting_rpy,fr3,vors-huber,0.017782956,0.006097437,0.44646847,0.004602362,0.042737585,0.023699922,2.4633224,0.013327859
rgbd_dataset_freiburg3_sitting_rpy,fr3,vors-norm,0.022121336,0.005834167,0.44646963,0.0045689014,0.20407899,0.022028478,2.4623256,0.013821992
rgbd_dataset_freiburg3_sitting_rpy,fr3,ocv-rgbd,0.0117686195,0.0053415736,0.4464951,0.004654054,0.06523273,0.02317137,2.4630094,0.015306404
rgbd_dataset_freiburg3_sitting_rpy,fr3,fovis,0.015985474,0.0053552478,0.44658816,0.004998969,0.07204579,0.029425042,2.4570842,0.017979728
rgbd_dataset_freiburg3_nostructure_notexture_far,fr3,ocv-rgbd,0.0395862,0.013946882,0.021231288,0.011073619,0.28748503,0.20765212,0.122261725,0.08834675
rgbd_dataset_freiburg3_nostructure_notexture_far,fr3,dvo,0.023859946,0.017922848,0.014709372,0.010072829,0.19815288,0.14741158,0.11927647,0.07506231
rgbd_dataset_freiburg3_nostructure_notexture_far,fr3,ocv-icp,0.007240815,0.006507113,0.009405981,0.007224791,0.19793306,0.19653738,0.056901246,0.04033998
rgbd_dataset_freiburg3_nostructure_notexture_far,fr3,still,0.007241072,0.006507113,0.009408495,0.0072134505,0.1979328,0.19653738,0.0568982,0.040236827
rgbd_dataset_freiburg3_nostructure_notexture_far,fr3,ocv-rgbd-icp,0.007240815,0.006507113,0.009405981,0.007224791,0.19793306,0.19653738,0.056901246,0.04033998
rgbd_dataset_freiburg3_nostructure_notexture_far,fr3,vors-robust,0.03743161,0.022200031,0.018624526,0.012904226,0.25026077,0.21792439,0.099251926,0.074340664
rgbd_dataset_freiburg3_nostructure_notexture_far,fr3,vors-norm,0.04119627,0.023869049,0.018762948,0.0117839305,0.25758192,0.22054832,0.078935094,0.06461201
rgbd_dataset_freiburg3_nostructure_notexture_far,fr3,vors-photo,0.14488102,0.025430135,0.044080287,0.012928916,2.4939759,0.56870764,0.670219,0.17428678
rgbd_dataset_freiburg3_nostructure_notexture_far,fr3,fovis,0.020525226,0.009380174,0.013279424,0.009227965,0.17129004,0.12324004,0.0661802,0.04761561
rgbd_dataset_freiburg3_nostructure_notexture_far,fr3,vors,0.021806538,0.015117057,0.011604797,0.008681327,0.23980574,0.22517435,0.080256045,0.06649961
rgbd_dataset_freiburg3_nostructure_notexture_far,fr3,vors-huber,0.047435533,0.02806007,0.02236042,0.013762095,0.25191805,0.20756592,0.08103123,0.061127223
rgbd_dataset_freiburg2_rpy,fr2,vors-huber,0.007470571,0.0012560487,0.4142267,0.0015444333,0.06039668,0.0028496303,1.7051448,0.0051811105
rgbd_dataset_freiburg2_rpy,fr2,vors-robust,0.008225586,0.0012306493,0.41423923,0.0015209784,0.059383005,0.0027601793,1.7055464,0.0051571536
rgbd_dataset_freiburg2_rpy,fr2,vors-norm,0.004825695,0.0011978481,0.41420892,0.0015496835,0.041939367,0.0029236027,1.7070416,0.0051935827
rgbd_dataset_freiburg2_rpy,fr2,ocv-rgbd,0.0021032614,0.0016918279,0.41418365,0.0017643454,0.010308705,0.008034345,1.7065065,0.008063452
rgbd_dataset_freiburg2_rpy,fr2,vors-photo,0.0016228942,0.0011882692,0.41420364,0.0015197285,0.0032956735,0.00267841,1.7070767,0.0050727148
rgbd_dataset_freiburg2_rpy,fr2,ocv-icp,0.0007198766,0.0005384674,0.41406706,0.00394716,0.015859518,0.012389452,1.6833988,0.10439604
rgbd_dataset_freiburg2_rpy,fr2,still,0.00072025775,0.00053846673,0.4140856,0.0039270427,0.015865177,0.012352002,1.6831775,0.10437718
rgbd_dataset_freiburg2_rpy,fr2,ocv-rgbd-icp,0.0007198766,0.0005384674,0.41406706,0.00394716,0.015859518,0.012389452,1.6833988,0.10439604
rgbd_dataset_freiburg2_rpy,fr2,dvo,0.0017208525,0.0013058217,0.4142071,0.0015059038,0.015440969,0.012329632,1.7056407,0.00957001
rgbd_dataset_freiburg2_rpy,fr2,vors,0.0042208177,0.001207607,0.41419268,0.00152816,0.022003205,0.0027477338,1.7039644,0.0050791064
rgbd_dataset_freiburg2_rpy,fr2,fovis,0.0021433719,0.0016400656,0.41413924,0.0017357976,0.004610645,0.003031733,1.706929,0.004924969
rgbd_dataset_freiburg3_large_cabinet,fr3,fovis,0.019851876,0.010060744,0.44907838,0.0039538974,0.09994569,0.0702889,1.9163382,0.020330288
rgbd_dataset_freiburg3_large_cabinet,fr3,ocv-icp,0.013990926,0.013017259,0.40117955,0.008851902,0.38780746,0.4096807,1.5353038,0.16518176
rgbd_dataset_freiburg3_large_cabinet,fr3,vors,0.032697026,0.009294628,0.40158653,0.004230215,0.20895156,0.06607317,1.5588518,0.01338667
rgbd_dataset_freiburg3_large_cabinet,fr3,dvo,0.01956253,0.009387439,0.4014356,0.0037060876,0.21664444,0.1358272,1.5520968,0.029704912
rgbd_dataset_freiburg3_large_cabinet,fr3,still,0.013981964,0.013027274,0.40117937,0.008851902,0.3878209,0.40969616,1.535305,0.16518176
rgbd_dataset_freiburg3_large_cabinet,fr3,ocv-rgbd,0.023818843,0.012949905,0.4488585,0.0064336522,0.22029974,0.17376739,1.8961776,0.06720683
rgbd_dataset_freiburg3_large_cabinet,fr3,vors-robust,0.048346594,0.009403279,0.40165105,0.004061926,0.23208316,0.060361564,1.5571439,0.016198128
rgbd_dataset_freiburg3_large_cabinet,fr3,vors-photo,0.03602438,0.007654628,0.4015538,0.003924004,0.24299893,0.03703031,1.5559366,0.012006036
rgbd_dataset_freiburg3_large_cabinet,fr3,vors-norm,0.108390845,0.011562497,0.40198976,0.0048455754,0.6231953,0.22518207,1.5587537,0.05269455
rgbd_dataset_freiburg3_large_cabinet,fr3,vors-huber,0.04057798,0.009861835,0.40126002,0.0040874663,0.21656258,0.0499428,1.5561081,0.014055088
rgbd_dataset_freiburg3_large_cabinet,fr3,ocv-rgbd-icp,0.013990926,0.013017259,0.40117955,0.008851902,0.38780746,0.4096807,1.5353038,0.16518176
rgbd_dataset_freiburg2_pioneer_slam2,fr2,vors,0.105794854,0.0043704533,0.60563,0.005891879,0.3518347,0.026344102,1.5777769,0.01706271
rgbd_dataset_freiburg2_pioneer_slam2,fr2,vors-norm,0.114827275,0.004451937,0.6091782,0.0058211274,0.3429925,0.021663489,1.5795816,0.015061376
rgbd_dataset_freiburg2_pioneer_slam2,fr2,fovis,0.04132224,0.007655077,0.6496507,0.006132037,0.12602213,0.031815115,1.8172011,0.016237661
rgbd_dataset_freiburg2_pioneer_slam2,fr2,ocv-rgbd,0.041925482,0.0053280424,0.686834,0.0061257374,0.12513186,0.040340975,1.8145059,0.023194637
rgbd_dataset_freiburg2_pioneer_slam2,fr2,vors-huber,0.09627759,0.0042780032,0.60766256,0.00603592,0.36057383,0.02332246,1.5783411,0.017433738
rgbd_dataset_freiburg2_pioneer_slam2,fr2,ocv-icp,0.037383545,0.008474748,0.60908335,0.01205161,0.20446008,0.20971067,1.5353483,0.21172985
rgbd_dataset_freiburg2_pioneer_slam2,fr2,dvo,0.07027398,0.0034814011,0.64934605,0.005411968,0.2770217,0.024356795,1.8554331,0.014544073
rgbd_dataset_freiburg2_pioneer_slam2,fr2,vors-robust,0.11129387,0.0040283715,0.6070447,0.005866062,0.3941688,0.023174504,1.5792092,0.016159492
rgbd_dataset_freiburg2_pioneer_slam2,fr2,still,0.037446994,0.0084237745,0.609472,0.012030782,0.20487572,0.20992456,1.5286429,0.21062712
rgbd_dataset_freiburg2_pioneer_slam2,fr2,vors-photo,0.5616455,0.004288514,0.611269,0.0058945348,1.8702058,0.021368278,1.5652565,0.013848251
rgbd_dataset_freiburg2_pioneer_slam2,fr2,ocv-rgbd-icp,0.037383545,0.008474748,0.60908335,0.01205161,0.20446008,0.20971067,1.5353483,0.21172985
rgbd_dataset_freiburg2_desk_with_person,fr2,vors-robust,0.0038424244,0.0016293931,0.42526764,0.002619346,0.015891792,0.009467025,1.3307265,0.0065452545
rgbd_dataset_freiburg2_desk_with_person,fr2,vors-norm,0.00935462,0.0017394816,0.42526746,0.0028334544,0.048152383,0.012423925,1.3297613,0.008761612
rgbd_dataset_freiburg2_desk_with_person,fr2,still,0.010535595,0.0047695995,0.4243315,0.005403409,0.14604582,0.1306712,1.3095499,0.09200948
rgbd_dataset_freiburg2_desk_with_person,fr2,vors,0.0036560532,0.0015779694,0.42526254,0.0026402692,0.021797994,0.009929062,1.3290591,0.00792488
rgbd_dataset_freiburg2_desk_with_person,fr2,vors-huber,0.008106421,0.0016453792,0.4252693,0.0026088909,0.03564492,0.009247574,1.3308259,0.006357887
rgbd_dataset_freiburg2_desk_with_person,fr2,ocv-rgbd,0.0038887039,0.0020274138,0.3979301,0.0027161753,0.030290414,0.015190874,1.3219185,0.012289856
rgbd_dataset_freiburg2_desk_with_person,fr2,fovis,0.003758049,0.0020066563,0.45113888,0.002695681,0.030490842,0.009205615,1.5035187,0.0075455857
rgbd_dataset_freiburg2_desk_with_person,fr2,ocv-icp,0.011652987,0.004788021,0.39638644,0.0052497163,0.14658844,0.13114418,1.3039061,0.09098596
rgbd_dataset_freiburg2_desk_with_person,fr2,vors-photo,0.0038014364,0.001579828,0.42525393,0.0026365072,0.02343754,0.010768712,1.3290542,0.007599215
rgbd_dataset_freiburg2_desk_with_person,fr2,dvo,0.003537831,0.0015788585,0.4253496,0.002474588,0.0300089,0.019381575,1.6086565,0.012529995
rgbd_dataset_freiburg2_desk_with_person,fr2,ocv-rgbd-icp,0.011652987,0.004788021,0.39638644,0.0052497163,0.14658844,0.13114418,1.3039061,0.09098596
living_room_traj2_frei_png,icl,vors,0.002209119,0.00065040524,0.2119179,0.0002869307,0.013965414,0.010937084,1.0726433,0.0052728457
living_room_traj2_frei_png,icl,vors-photo,0.0021964882,0.0006428246,0.21191816,0.00028905788,0.0126507655,0.0099771,1.0728669,0.0047898716
living_room_traj2_frei_png,icl,dvo,0.0037195238,0.002204496,0.2996621,0.00090670644,0.06670978,0.05116857,1.5133084,0.021055019
living_room_traj2_frei_png,icl,vors-robust,0.0006569744,0.0004319168,0.2119196,0.00017024348,0.0055560833,0.004340211,1.0733162,0.0021314244
living_room_traj2_frei_png,icl,ocv-rgbd,0.0033522334,0.001996331,0.29970047,0.00089852815,0.028068138,0.017619798,1.5173497,0.0085939765
living_room_traj2_frei_png,icl,still,0.010504435,0.009482869,0.21195288,0.008601291,0.24249744,0.23781535,1.0710897,0.21140559
living_room_traj2_frei_png,icl,ocv-icp,0.00011340058,0.00005350026,0.29970768,0.000030865038,0.00071601616,0.0004210401,1.5185057,0.00021605237
living_room_traj2_frei_png,icl,ocv-rgbd-icp,0.00017763792,0.00008900066,0.2997078,0.000055346634,0.0010528469,0.00070739293,1.5184706,0.00042263887
living_room_traj2_frei_png,icl,vors-huber,0.00064641854,0.00041545441,0.21192028,0.00016621068,0.0038228775,0.003026239,1.0734601,0.0012942633
living_room_traj2_frei_png,icl,fovis,0.13087381,0.01017018,0.36752084,0.0089927595,1.1192029,0.34798858,1.6710863,0.2547826
living_room_traj2_frei_png,icl,vors-norm,0.002094553,0.0006827676,0.2119112,0.0003092911,0.017976109,0.01106198,1.072513,0.0052247834
living_room_traj0_frei_png,icl,ocv-rgbd,0.0086475415,0.0025436613,0.0063522314,0.001313847,0.089030795,0.01986643,0.070188425,0.010390661
living_room_traj0_frei_png,icl,ocv-rgbd-icp,0.005322143,0.00010731748,0.00082668016,0.00006202289,0.04863434,0.0007505028,0.010513263,0.00041286077
living_room_traj0_frei_png,icl,ocv-icp,0.005613947,0.00004974387,0.0026870964,0.000029028817,0.051725604,0.0004182048,0.018090876,0.0002443069
living_room_traj0_frei_png,icl,vors,0.0022726785,0.00057936355,0.0013704122,0.0002928342,0.02461294,0.0060068634,0.0153529495,0.0030449661
living_room_traj0_frei_png,icl,vors-robust,0.001632702,0.0003994999,0.0010970444,0.00019786964,0.023754144,0.0042346045,0.014729178,0.0021139942
living_room_traj0_frei_png,icl,vors-photo,0.0034140535,0.0005134306,0.0022447482,0.0002496279,0.032690533,0.0058138813,0.01876821,0.0028941466
living_room_traj0_frei_png,icl,vors-norm,0.003811956,0.0005319163,0.0022667926,0.0002591646,0.024642473,0.0062034926,0.016906057,0.003221941
living_room_traj0_frei_png,icl,dvo,0.003956887,0.0021948272,0.0017004911,0.0009990544,0.077077016,0.043921415,0.03281788,0.019492619
living_room_traj0_frei_png,icl,still,0.005592893,0.003300402,0.008764246,0.008205989,0.119858816,0.07852169,0.20536838,0.20350677
living_room_traj0_frei_png,icl,fovis,0.11100711,0.0038659016,0.1572655,0.008220627,1.0030936,0.31689805,0.8944108,0.25684726
living_room_traj0_frei_png,icl,vors-huber,0.0016305997,0.000437005,0.0010238767,0.00021293508,0.018503848,0.0032189912,0.01182283,0.001588696
rgbd_dataset_freiburg2_metallic_sphere2,fr2,vors-robust,0.026345944,0.0022261625,0.3594688,0.0029320542,0.14242785,0.018955369,1.9256688,0.01028075
rgbd_dataset_freiburg2_metallic_sphere2,fr2,vors,0.034048628,0.0023004399,0.3592491,0.0029942626,0.16607016,0.023051372,1.918768,0.013036734
rgbd_dataset_freiburg2_metallic_sphere2,fr2,vors-norm,0.037382033,0.0026754965,0.35935178,0.0031267544,0.22254036,0.031132678,1.9236153,0.014032474
rgbd_dataset_freiburg2_metallic_sphere2,fr2,still,0.00697107,0.0066762385,0.35911268,0.008840918,0.19982645,0.1981671,1.8668149,0.23464015
rgbd_dataset_freiburg2_metallic_sphere2,fr2,vors-huber,0.027988322,0.0023900627,0.3593516,0.0030420348,0.16767319,0.022469902,1.9251107,0.011056515
rgbd_dataset_freiburg2_metallic_sphere2,fr2,ocv-rgbd,0.007882298,0.0027849036,0.35928753,0.0034616992,0.068606466,0.02872176,1.8433448,0.026990103
rgbd_dataset_freiburg2_metallic_sphere2,fr2,ocv-icp,0.0069702263,0.0066609546,0.35911307,0.008804862,0.1996476,0.19808465,1.8662431,0.2341078
rgbd_dataset_freiburg2_metallic_sphere2,fr2,dvo,0.012813978,0.0029159647,0.41510475,0.002927499,0.09982204,0.05796825,2.2335184,0.01585277
rgbd_dataset_freiburg2_metallic_sphere2,fr2,vors-photo,0.018022928,0.0022769123,0.35915112,0.0030027267,0.0884671,0.023741446,1.9201579,0.012284998
rgbd_dataset_freiburg2_metallic_sphere2,fr2,ocv-rgbd-icp,0.0069702263,0.0066609546,0.35911307,0.008804862,0.1996476,0.19808465,1.8662431,0.2341078
rgbd_dataset_freiburg2_metallic_sphere2,fr2,fovis,0.023457007,0.005669175,0.41431493,0.0036274123,0.1752573,0.06252197,2.2279315,0.017913489
rgbd_dataset_freiburg3_sitting_static,fr3,ocv-rgbd-icp,0.0009227702,0.0005004434,0.004374662,0.0028488694,0.014208104,0.009215966,0.036636986,0.024851687
rgbd_dataset_freiburg3_sitting_static,fr3,vors-photo,0.0035422384,0.0024342374,0.0023474016,0.0015558004,0.0074106157,0.0052844593,0.004394858,0.003747178
rgbd_dataset_freiburg3_sitting_static,fr3,dvo,0.0028406132,0.0018996857,0.00219808,0.0013579836,0.015204687,0.011856676,0.006106639,0.0051989914
rgbd_dataset_freiburg3_sitting_static,fr3,vors,0.0035466994,0.0024931629,0.0023487378,0.0015207485,0.008181299,0.0052519753,0.0044127633,0.003687284
rgbd_dataset_freiburg3_sitting_static,fr3,vors-norm,0.0036385932,0.0024779218,0.0023558328,0.0015355457,0.0076823467,0.005689595,0.00436951,0.0037846924
rgbd_dataset_freiburg3_sitting_static,fr3,vors-robust,0.003914398,0.0026620931,0.0023930685,0.0015484266,0.007216828,0.0047576446,0.004434957,0.0037404308
